<VMAF version="2.3.1">
  <params qualityWidth="768" qualityHeight="432" />
  <fyi fps="58.86" />
  <frames>
    <frame frameNum="0" integer_adm2="0.948671" integer_adm_scale0="0.943556" integer_adm_scale1="0.886023" integer_adm_scale2="0.922557" integer_adm_scale3="0.987656" integer_motion2="0.000000" integer_motion="0.000000" integer_vif_scale0="0.406686" integer_vif_scale1="0.762719" integer_vif_scale2="0.873946" integer_vif_scale3="0.930327" vmaf="76.487866" />
    <frame frameNum="1" integer_adm2="0.941274" integer_adm_scale0="0.944712" integer_adm_scale1="0.881697" integer_adm_scale2="0.918211" integer_adm_scale3="0.979235" integer_motion2="6.787533" integer_motion="6.846072" integer_vif_scale0="0.391944" integer_vif_scale1="0.742867" integer_vif_scale2="0.858025" integer_vif_scale3="0.919051" vmaf="81.234225" />
    <frame frameNum="2" integer_adm2="0.946074" integer_adm_scale0="0.954112" integer_adm_scale1="0.876800" integer_adm_scale2="0.933839" integer_adm_scale3="0.977646" integer_motion2="6.787533" integer_motion="6.787533" integer_vif_scale0="0.390850" integer_vif_scale1="0.742570" integer_vif_scale2="0.857721" integer_vif_scale3="0.919347" vmaf="82.243003" />
    <frame frameNum="3" integer_adm2="0.940056" integer_adm_scale0="0.944760" integer_adm_scale1="0.873178" integer_adm_scale2="0.908977" integer_adm_scale3="0.984083" integer_motion2="6.905494" integer_motion="6.905494" integer_vif_scale0="0.388645" integer_vif_scale1="0.741143" integer_vif_scale2="0.856879" integer_vif_scale3="0.919709" vmaf="81.128011" />
    <frame frameNum="4" integer_adm2="0.944818" integer_adm_scale0="0.940544" integer_adm_scale1="0.857393" integer_adm_scale2="0.935184" integer_adm_scale3="0.982774" integer_motion2="6.907349" integer_motion="6.907349" integer_vif_scale0="0.387556" integer_vif_scale1="0.741161" integer_vif_scale2="0.856301" integer_vif_scale3="0.919632" vmaf="82.090910" />
    <frame frameNum="5" integer_adm2="0.943242" integer_adm_scale0="0.949296" integer_adm_scale1="0.881692" integer_adm_scale2="0.920832" integer_adm_scale3="0.979736" integer_motion2="6.904497" integer_motion="6.985979" integer_vif_scale0="0.387898" integer_vif_scale1="0.740739" integer_vif_scale2="0.857209" integer_vif_scale3="0.919212" vmaf="81.765301" />
    <frame frameNum="6" integer_adm2="0.941257" integer_adm_scale0="0.953625" integer_adm_scale1="0.844227" integer_adm_scale2="0.926567" integer_adm_scale3="0.982300" integer_motion2="6.807296" integer_motion="6.904497" integer_vif_scale0="0.389785" integer_vif_scale1="0.746339" integer_vif_scale2="0.860214" integer_vif_scale3="0.920577" vmaf="81.434213" />
    <frame frameNum="7" integer_adm2="0.933115" integer_adm_scale0="0.947034" integer_adm_scale1="0.877336" integer_adm_scale2="0.902889" integer_adm_scale3="0.970561" integer_motion2="6.671595" integer_motion="6.807296" integer_vif_scale0="0.375237" integer_vif_scale1="0.717595" integer_vif_scale2="0.833880" integer_vif_scale3="0.897847" vmaf="77.171602" />
    <frame frameNum="8" integer_adm2="0.933367" integer_adm_scale0="0.954596" integer_adm_scale1="0.857651" integer_adm_scale2="0.908482" integer_adm_scale3="0.971173" integer_motion2="6.671595" integer_motion="6.671595" integer_vif_scale0="0.364486" integer_vif_scale1="0.693631" integer_vif_scale2="0.808274" integer_vif_scale3="0.877542" vmaf="75.060824" />
    <frame frameNum="9" integer_adm2="0.931527" integer_adm_scale0="0.944775" integer_adm_scale1="0.852680" integer_adm_scale2="0.900325" integer_adm_scale3="0.976957" integer_motion2="6.604831" integer_motion="6.871716" integer_vif_scale0="0.357194" integer_vif_scale1="0.683137" integer_vif_scale2="0.799232" integer_vif_scale3="0.868599" vmaf="73.778186" />
